id,terrestrial_date,sol,ls,month,min_temp,pressure,year_month,year_month_ls,terrestrial_days
1289,2016-06-03,1360,162,6,-76.0,739.0,2016-06-162,2016-06-162,1387
1290,2016-06-04,1361,163,6,-75.0,739.0,2016-06-163,2016-06-163,1388
602,2014-06-13,658,144,5,-79.0,739.0,2014-06-144,2014-06-144,666
1286,2016-05-30,1356,160,6,-74.0,739.0,2016-05-160,2016-05-160,1383
1282,2016-05-28,1354,159,6,-75.0,739.0,2016-05-159,2016-05-159,1381
1280,2016-05-25,1351,157,6,-72.0,739.0,2016-05-157,2016-05-157,1378
625,2014-07-07,682,157,6,-77.0,739.0,2014-07-157,2014-07-157,690
1291,2016-06-05,1362,163,6,-74.0,739.0,2016-06-163,2016-06-163,1389
1295,2016-06-09,1366,165,6,-75.0,740.0,2016-06-165,2016-06-165,1393
1284,2016-05-29,1355,159,6,-75.0,740.0,2016-05-159,2016-05-159,1382
618,2014-06-30,675,153,6,-80.0,740.0,2014-06-153,2014-06-153,683
620,2014-07-05,680,156,6,-76.0,740.0,2014-07-156,2014-07-156,688
1293,2016-06-07,1364,164,6,-74.0,740.0,2016-06-164,2016-06-164,1391
599,2014-06-11,656,143,5,-80.0,740.0,2014-06-143,2014-06-143,664
614,2014-06-26,671,151,6,-79.0,740.0,2014-06-151,2014-06-151,679
1292,2016-06-06,1363,164,6,-75.0,740.0,2016-06-164,2016-06-164,1390
635,2014-07-20,694,164,6,-75.0,740.0,2014-07-164,2014-07-164,703
68,2012-08-22,16,158,6,-77.0,740.0,2012-08-158,2012-08-158,6
46,2012-08-20,14,157,6,-74.0,740.0,2012-08-157,2012-08-157,4
57,2012-08-21,15,158,6,-78.0,740.0,2012-08-158,2012-08-158,5
1249,2016-04-24,1321,141,5,-77.0,740.0,2016-04-141,2016-04-141,1347
1251,2016-04-25,1322,142,5,-78.0,740.0,2016-04-142,2016-04-142,1348
1877,2018-02-11,1961,127,5,-77.0,740.0,2018-02-127,2018-02-127,2005
1876,2018-02-09,1960,127,5,-78.0,740.0,2018-02-127,2018-02-127,2003
1878,2018-02-08,1959,126,5,-78.0,740.0,2018-02-126,2018-02-126,2002
628,2014-07-10,685,159,6,-77.0,740.0,2014-07-159,2014-07-159,693
13,2012-08-17,11,156,6,-76.0,740.0,2012-08-156,2012-08-156,1
24,2012-08-18,12,156,6,-76.0,741.0,2012-08-156,2012-08-156,2
123,2012-08-29,23,162,6,-75.0,741.0,2012-08-162,2012-08-162,13
627,2014-07-09,684,158,6,-75.0,741.0,2014-07-158,2014-07-158,692
631,2014-07-14,688,160,6,-77.0,741.0,2014-07-160,2014-07-160,697
636,2014-07-19,693,163,6,-76.0,741.0,2014-07-163,2014-07-163,702
1250,2016-04-23,1320,141,5,-77.0,741.0,2016-04-141,2016-04-141,1346
634,2014-07-17,691,162,6,-76.0,741.0,2014-07-162,2014-07-162,700
626,2014-07-08,683,158,6,-79.0,741.0,2014-07-158,2014-07-158,691
633,2014-07-16,690,161,6,-77.0,741.0,2014-07-161,2014-07-161,699
638,2014-07-21,695,164,6,-76.0,741.0,2014-07-164,2014-07-164,704
598,2014-06-10,655,143,5,-77.0,741.0,2014-06-143,2014-06-143,663
1874,2018-02-07,1958,126,5,-77.0,741.0,2018-02-126,2018-02-126,2001
112,2012-08-27,21,161,6,-74.0,741.0,2012-08-161,2012-08-161,11
114,2012-08-28,22,162,6,-74.0,742.0,2012-08-162,2012-08-162,12
1299,2016-06-12,1369,167,6,-73.0,742.0,2016-06-167,2016-06-167,1396
79,2012-08-23,17,159,6,-76.0,742.0,2012-08-159,2012-08-159,7
134,2012-08-30,24,163,6,-75.0,742.0,2012-08-163,2012-08-163,14
632,2014-07-15,689,161,6,-76.0,742.0,2014-07-161,2014-07-161,698
597,2014-06-09,654,142,5,-79.0,742.0,2014-06-142,2014-06-142,662
1875,2018-02-06,1957,125,5,-77.0,742.0,2018-02-125,2018-02-125,2000
1248,2016-04-22,1319,140,5,-78.0,742.0,2016-04-140,2016-04-140,1345
637,2014-07-18,692,162,6,-76.0,742.0,2014-07-162,2014-07-162,701
595,2014-06-05,651,141,5,-80.0,743.0,2014-06-141,2014-06-141,658
1296,2016-06-10,1367,166,6,-74.0,743.0,2016-06-166,2016-06-166,1394
1297,2016-06-11,1368,167,6,-74.0,743.0,2016-06-167,2016-06-167,1395
1246,2016-04-20,1317,139,5,-80.0,743.0,2016-04-139,2016-04-139,1343
1247,2016-04-21,1318,140,5,-80.0,743.0,2016-04-140,2016-04-140,1344
641,2014-07-24,698,166,6,-77.0,743.0,2014-07-166,2014-07-166,707
145,2012-08-31,25,163,6,-75.0,743.0,2012-08-163,2012-08-163,15
639,2014-07-22,696,165,6,-75.0,743.0,2014-07-165,2014-07-165,705
163,2012-09-02,27,164,6,-75.0,743.0,2012-09-164,2012-09-164,17
593,2014-06-04,650,140,5,-80.0,743.0,2014-06-140,2014-06-140,657
640,2014-07-23,697,165,6,-74.0,743.0,2014-07-165,2014-07-165,706
1298,2016-06-13,1370,168,6,-74.0,744.0,2016-06-168,2016-06-168,1397
596,2014-06-08,653,142,5,-80.0,744.0,2014-06-142,2014-06-142,661
1242,2016-04-17,1314,138,5,-78.0,744.0,2016-04-138,2016-04-138,1340
1245,2016-04-19,1316,139,5,-80.0,744.0,2016-04-139,2016-04-139,1342
1244,2016-04-18,1315,138,5,-77.0,744.0,2016-04-138,2016-04-138,1341
642,2014-07-25,699,166,6,-76.0,744.0,2014-07-166,2014-07-166,708
1879,2018-02-05,1956,125,5,-79.0,744.0,2018-02-125,2018-02-125,1999
592,2014-06-03,649,140,5,-79.0,745.0,2014-06-140,2014-06-140,656
1873,2018-02-04,1955,124,5,-77.0,745.0,2018-02-124,2018-02-124,1998
1872,2018-02-03,1954,124,5,-77.0,745.0,2018-02-124,2018-02-124,1997
170,2012-09-03,28,165,6,-75.0,745.0,2012-09-165,2012-09-165,18
156,2012-09-01,26,164,6,-76.0,745.0,2012-09-164,2012-09-164,16
1300,2016-06-15,1372,169,6,-74.0,745.0,2016-06-169,2016-06-169,1399
173,2012-09-06,31,167,6,-74.0,745.0,2012-09-167,2012-09-167,21
643,2014-07-26,700,167,6,-75.0,745.0,2014-07-167,2014-07-167,709
1243,2016-04-15,1312,137,5,-77.0,745.0,2016-04-137,2016-04-137,1338
1239,2016-04-13,1310,136,5,-76.0,745.0,2016-04-136,2016-04-136,1336
644,2014-07-27,701,167,6,-77.0,745.0,2014-07-167,2014-07-167,710
645,2014-07-28,702,168,6,-76.0,745.0,2014-07-168,2014-07-168,711
1240,2016-04-14,1311,136,5,-78.0,745.0,2016-04-136,2016-04-136,1337
594,2014-06-07,652,141,5,-79.0,745.0,2014-06-141,2014-06-141,660
1241,2016-04-16,1313,137,5,-77.0,745.0,2016-04-137,2016-04-137,1339
1301,2016-06-14,1371,168,6,-75.0,746.0,2016-06-168,2016-06-168,1398
589,2014-05-30,645,138,5,-81.0,746.0,2014-05-138,2014-05-138,652
590,2014-06-01,647,139,5,-79.0,746.0,2014-06-139,2014-06-139,654
587,2014-05-31,646,138,5,-81.0,746.0,2014-05-138,2014-05-138,653
648,2014-07-31,705,170,6,-76.0,746.0,2014-07-170,2014-07-170,714
1303,2016-06-16,1373,169,6,-74.0,746.0,2016-06-169,2016-06-169,1400
591,2014-06-02,648,139,5,-80.0,746.0,2014-06-139,2014-06-139,655
171,2012-09-04,29,166,6,-75.0,747.0,2012-09-166,2012-09-166,19
646,2014-07-29,703,169,6,-75.0,747.0,2014-07-169,2014-07-169,712
172,2012-09-05,30,166,6,-74.0,747.0,2012-09-166,2012-09-166,20
1238,2016-04-12,1309,135,5,-81.0,747.0,2016-04-135,2016-04-135,1335
1870,2018-02-02,1953,123,5,-78.0,747.0,2018-02-123,2018-02-123,1996
647,2014-07-30,704,169,6,-75.0,747.0,2014-07-169,2014-07-169,713
1302,2016-06-17,1374,170,6,-75.0,748.0,2016-06-170,2016-06-170,1401
586,2014-05-28,643,137,5,-80.0,748.0,2014-05-137,2014-05-137,650
588,2014-05-29,644,137,5,-80.0,748.0,2014-05-137,2014-05-137,651
1871,2018-02-01,1952,123,5,-80.0,748.0,2018-02-123,2018-02-123,1995
650,2014-08-01,706,170,6,-76.0,748.0,2014-08-170,2014-08-170,715
1236,2016-04-10,1307,134,5,-80.0,748.0,2016-04-134,2016-04-134,1333
175,2012-09-08,33,168,6,-73.0,748.0,2012-09-168,2012-09-168,23
1234,2016-04-08,1306,134,5,-79.0,748.0,2016-04-134,2016-04-134,1331
1237,2016-04-11,1308,135,5,-81.0,748.0,2016-04-135,2016-04-135,1334
176,2012-09-10,34,168,6,-73.0,748.0,2012-09-168,2012-09-168,25
1306,2016-06-20,1377,172,6,-76.0,749.0,2016-06-172,2016-06-172,1404
651,2014-08-02,707,171,6,-76.0,749.0,2014-08-171,2014-08-171,716
649,2014-08-03,708,171,6,-76.0,749.0,2014-08-171,2014-08-171,717
584,2014-05-26,641,136,5,-81.0,749.0,2014-05-136,2014-05-136,648
1305,2016-06-19,1376,171,6,-75.0,749.0,2016-06-171,2016-06-171,1403
1869,2018-01-31,1951,122,5,-77.0,749.0,2018-01-122,2018-01-122,1994
1235,2016-04-07,1305,133,5,-80.0,749.0,2016-04-133,2016-04-133,1330
177,2012-09-11,35,169,6,-73.0,749.0,2012-09-169,2012-09-169,26
1304,2016-06-18,1375,170,6,-73.0,749.0,2016-06-170,2016-06-170,1402
585,2014-05-27,642,136,5,-80.0,749.0,2014-05-136,2014-05-136,649
1233,2016-04-06,1304,133,5,-80.0,750.0,2016-04-133,2016-04-133,1329
652,2014-08-04,709,172,6,-73.0,750.0,2014-08-172,2014-08-172,718
1868,2018-01-30,1950,122,5,-79.0,750.0,2018-01-122,2018-01-122,1993
180,2012-09-14,38,171,6,-73.0,750.0,2012-09-171,2012-09-171,29
179,2012-09-13,37,170,6,-73.0,750.0,2012-09-170,2012-09-170,28
178,2012-09-12,36,169,6,-73.0,750.0,2012-09-169,2012-09-169,27
581,2014-05-24,639,135,5,-80.0,750.0,2014-05-135,2014-05-135,646
583,2014-05-25,640,135,5,-81.0,750.0,2014-05-135,2014-05-135,647
653,2014-08-05,710,172,6,-77.0,751.0,2014-08-172,2014-08-172,719
1311,2016-06-24,1380,173,6,-74.0,751.0,2016-06-173,2016-06-173,1408
1308,2016-06-21,1378,172,6,-76.0,751.0,2016-06-172,2016-06-172,1405
1232,2016-04-05,1303,132,5,-78.0,751.0,2016-04-132,2016-04-132,1328
654,2014-08-06,711,173,6,-75.0,751.0,2014-08-173,2014-08-173,720
1307,2016-06-23,1379,173,6,-77.0,751.0,2016-06-173,2016-06-173,1407
579,2014-05-23,638,134,5,-80.0,751.0,2014-05-134,2014-05-134,645
1318,2016-07-12,1398,184,7,-66.0,751.0,2016-07-184,2016-07-184,1426
1231,2016-04-04,1302,132,5,-80.0,751.0,2016-04-132,2016-04-132,1327
1309,2016-06-25,1381,174,6,-73.0,751.0,2016-06-174,2016-06-174,1409
1867,2018-01-29,1949,121,5,-78.0,751.0,2018-01-121,2018-01-121,1992
1865,2018-01-27,1947,120,5,-78.0,751.0,2018-01-120,2018-01-120,1990
181,2012-09-15,39,171,6,-75.0,751.0,2012-09-171,2012-09-171,30
1312,2016-06-27,1383,175,6,-73.0,752.0,2016-06-175,2016-06-175,1411
1230,2016-04-03,1301,131,5,-78.0,752.0,2016-04-131,2016-04-131,1326
1227,2016-04-02,1300,131,5,-79.0,752.0,2016-04-131,2016-04-131,1325
1310,2016-06-26,1382,174,6,-76.0,752.0,2016-06-174,2016-06-174,1410
580,2014-05-22,637,134,5,-80.0,752.0,2014-05-134,2014-05-134,644
582,2014-05-21,636,133,5,-81.0,752.0,2014-05-133,2014-05-133,643
658,2014-08-07,712,174,6,-77.0,752.0,2014-08-174,2014-08-174,721
1866,2018-01-28,1948,121,5,-78.0,752.0,2018-01-121,2018-01-121,1991
1864,2018-01-26,1946,120,5,-79.0,753.0,2018-01-120,2018-01-120,1989
1228,2016-04-01,1299,130,5,-80.0,753.0,2016-04-130,2016-04-130,1324
577,2014-05-19,634,132,5,-82.0,753.0,2014-05-132,2014-05-132,641
183,2012-09-17,41,172,6,-75.0,753.0,2012-09-172,2012-09-172,32
182,2012-09-16,40,172,6,-75.0,753.0,2012-09-172,2012-09-172,31
1313,2016-06-28,1384,176,6,-74.0,753.0,2016-06-176,2016-06-176,1412
574,2014-05-18,633,132,5,-81.0,754.0,2014-05-132,2014-05-132,640
184,2012-09-18,42,173,6,-75.0,754.0,2012-09-173,2012-09-173,33
656,2014-08-08,713,174,6,-76.0,754.0,2014-08-174,2014-08-174,722
578,2014-05-20,635,133,5,-82.0,754.0,2014-05-133,2014-05-133,642
655,2014-08-09,714,175,6,-76.0,754.0,2014-08-175,2014-08-175,723
1862,2018-01-25,1945,119,4,-78.0,754.0,2018-01-119,2018-01-119,1988
1225,2016-03-30,1297,129,5,-80.0,755.0,2016-03-129,2016-03-129,1322
1316,2016-07-01,1387,177,6,-74.0,755.0,2016-07-177,2016-07-177,1415
1229,2016-03-31,1298,130,5,-79.0,755.0,2016-03-130,2016-03-130,1323
1861,2018-01-24,1944,119,4,-80.0,755.0,2018-01-119,2018-01-119,1987
575,2014-05-17,632,131,5,-79.0,755.0,2014-05-131,2014-05-131,639
659,2014-08-11,716,176,6,-75.0,755.0,2014-08-176,2014-08-176,725
657,2014-08-10,715,175,6,-73.0,755.0,2014-08-175,2014-08-175,724
1314,2016-06-29,1385,176,6,-75.0,755.0,2016-06-176,2016-06-176,1413
1315,2016-06-30,1386,177,6,-74.0,755.0,2016-06-177,2016-06-177,1414
576,2014-05-16,631,131,5,-81.0,756.0,2014-05-131,2014-05-131,638
185,2012-09-19,43,173,6,-74.0,756.0,2012-09-173,2012-09-173,34
1226,2016-03-29,1296,129,5,-79.0,756.0,2016-03-129,2016-03-129,1321
661,2014-08-12,717,176,6,-76.0,756.0,2014-08-176,2014-08-176,726
1863,2018-01-23,1943,118,4,-78.0,756.0,2018-01-118,2018-01-118,1986
1317,2016-07-02,1388,178,6,-73.0,756.0,2016-07-178,2016-07-178,1416
660,2014-08-13,718,177,6,-77.0,757.0,2014-08-177,2014-08-177,727
573,2014-05-15,630,130,5,-82.0,757.0,2014-05-130,2014-05-130,637
1224,2016-03-28,1295,128,5,-79.0,757.0,2016-03-128,2016-03-128,1320
186,2012-09-20,44,174,6,-75.0,757.0,2012-09-174,2012-09-174,35
1860,2018-01-22,1942,118,4,-78.0,757.0,2018-01-118,2018-01-118,1985
187,2012-09-21,45,175,6,-74.0,758.0,2012-09-175,2012-09-175,36
188,2012-09-22,46,175,6,-74.0,758.0,2012-09-175,2012-09-175,37
1221,2016-03-26,1293,127,5,-81.0,758.0,2016-03-127,2016-03-127,1318
1223,2016-03-27,1294,128,5,-79.0,758.0,2016-03-128,2016-03-128,1319
662,2014-08-14,719,178,6,-77.0,758.0,2014-08-178,2014-08-178,728
1856,2018-01-21,1941,117,4,-77.0,758.0,2018-01-117,2018-01-117,1984
189,2012-09-23,47,176,6,-75.0,758.0,2012-09-176,2012-09-176,38
190,2012-09-24,48,176,6,-75.0,759.0,2012-09-176,2012-09-176,39
1858,2018-01-20,1940,117,4,-77.0,759.0,2018-01-117,2018-01-117,1983
572,2014-05-14,629,130,5,-84.0,759.0,2014-05-130,2014-05-130,636
571,2014-05-13,628,129,5,-81.0,759.0,2014-05-129,2014-05-129,635
570,2014-05-12,627,129,5,-82.0,759.0,2014-05-129,2014-05-129,634
665,2014-08-17,722,179,6,-74.0,760.0,2014-08-179,2014-08-179,731
567,2014-05-11,626,128,5,-82.0,760.0,2014-05-128,2014-05-128,633
1857,2018-01-19,1939,116,4,-78.0,760.0,2018-01-116,2018-01-116,1982
663,2014-08-15,720,178,6,-74.0,760.0,2014-08-178,2014-08-178,729
